# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.12500000e-02
# lRef          : 1.00000000e-01
# Aref          : 1.00000000e-02
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
2000.25         	1.74755602e+00	8.73778017e-01	8.73778004e-01	-3.60803352e-02	-4.37771635e+00	4.34163602e+00	-4.35967619e+00	6.48276285e-09	-1.63189086e-09	2.29408108e-09	-4.84850324e-10	2.77893140e-09
2000.5          	1.74791238e+00	8.73956197e-01	8.73956184e-01	-2.79328447e-02	-4.36997097e+00	4.34203812e+00	-4.35600454e+00	6.48098158e-09	-1.63144668e-09	2.29356444e-09	-4.84664457e-10	2.77822890e-09
2000.75         	1.74830535e+00	8.74152681e-01	8.74152668e-01	-1.98085430e-02	-4.36233888e+00	4.34253034e+00	-4.35243461e+00	6.47922072e-09	-1.63098690e-09	2.29305388e-09	-4.84459962e-10	2.77751384e-09
2001            	1.74869073e+00	8.74345373e-01	8.74345361e-01	-1.16878618e-02	-4.35470932e+00	4.34302146e+00	-4.34886539e+00	6.47748152e-09	-1.63051184e-09	2.29254972e-09	-4.84236979e-10	2.77678670e-09
2001.25         	1.74906386e+00	8.74531934e-01	8.74531921e-01	-3.59894815e-03	-4.34708613e+00	4.34348718e+00	-4.34528665e+00	6.47576538e-09	-1.63002180e-09	2.29205237e-09	-4.83995617e-10	2.77604799e-09
2001.5          	1.74943921e+00	8.74719612e-01	8.74719599e-01	4.47628484e-03	-4.33949468e+00	4.34397096e+00	-4.34173282e+00	6.47407387e-09	-1.62951715e-09	2.29156229e-09	-4.83736005e-10	2.77529829e-09
2001.75         	1.74989282e+00	8.74946415e-01	8.74946402e-01	1.24536746e-02	-4.33219306e+00	4.34464674e+00	-4.33841990e+00	6.47240863e-09	-1.62899827e-09	2.29107995e-09	-4.83458290e-10	2.77453824e-09
2002            	1.75033582e+00	8.75167917e-01	8.75167904e-01	2.03796671e-02	-4.32492682e+00	4.34530649e+00	-4.33511666e+00	6.47077132e-09	-1.62846555e-09	2.29060583e-09	-4.83162634e-10	2.77376846e-09
2002.25         	1.75078482e+00	8.75392416e-01	8.75392403e-01	2.82688042e-02	-4.31772274e+00	4.34599154e+00	-4.33185714e+00	6.46916354e-09	-1.62791940e-09	2.29014036e-09	-4.82849218e-10	2.77298958e-09
2002.5          	1.75125667e+00	8.75628342e-01	8.75628329e-01	3.60776107e-02	-4.31066332e+00	4.34674093e+00	-4.32870212e+00	6.46758653e-09	-1.62736017e-09	2.28968390e-09	-4.82518224e-10	2.77220212e-09
